Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2318.4932858672023
FDW14,OUT017,2205.086263428026
NCN55,OUT010,320.7570887427055
FDQ58,OUT017,2200.2292340320473
FDY38,OUT027,3691.2488625512624
FDH56,OUT046,2299.1763270135357
FDL48,OUT018,2242.235036136667
FDC48,OUT027,3691.2488625512624
FDN33,OUT045,2229.926358626124
FDA36,OUT017,2193.671011598899
FDT44,OUT017,2246.0135162063225
FDQ56,OUT045,2231.331692004656
NCC54,OUT019,363.8622064973915
FDU11,OUT049,2260.9314257935066
DRL59,OUT013,2350.785451896381
FDM24,OUT049,2246.426804017226
FDI57,OUT045,2296.7166765637176
DRC12,OUT018,2234.83854467071
NCM42,OUT027,3691.2488625512624
FDA46,OUT010,315.8260944320673
FDA31,OUT013,2303.2013567987233
NCJ31,OUT035,2276.172815837892
FDG52,OUT046,2318.1606551094924
NCL19,OUT019,363.8622064973915
FDS10,OUT035,2276.172815837892
FDX22,OUT010,282.22136820506853
NCF19,OUT035,2245.600651111936
NCE06,OUT046,2279.575624628749
DRC27,OUT046,2318.900304256088
FDE21,OUT035,2244.614452249808
NCR42,OUT019,363.8622064973915
FDX51,OUT018,2193.664742176881
NCR06,OUT018,2208.457725108796
FDU31,OUT027,3691.2488625512624
FDU59,OUT017,2213.8216218608604
FDR03,OUT027,3691.2488625512624
FDS49,OUT027,3691.2488625512624
FDD48,OUT010,300.0222576664721
NCF18,OUT017,2254.6427562499393
NCD43,OUT027,3691.2488625512624
NCD54,OUT018,2250.8642761802835
FDY19,OUT010,346.1517094424919
NCY54,OUT017,2205.727292688409
NCL19,OUT018,2222.5110588941143
FDP23,OUT010,303.01300772741297
FDC26,OUT013,2318.4627841901483
FDR14,OUT010,306.2106555263231
NCS41,OUT035,2244.86100196534
FDF41,OUT035,2241.4093059478932
FDU34,OUT046,2340.8432289384277
DRH11,OUT046,2280.339928746898
FDM03,OUT013,2330.5683752227646
FDS31,OUT017,2228.7550361190893
FDJ20,OUT017,2266.2305928799387
FDV44,OUT027,3691.2488625512624
FDG02,OUT049,2254.9081142315235
FDA09,OUT013,2334.0200712402116
FDT04,OUT013,2353.2509490517
FDL58,OUT019,363.8622064973915
FDE52,OUT045,2250.094125356634
FDW12,OUT035,2222.498942766596
FDL51,OUT017,2266.2305928799387
NCY42,OUT027,3691.2488625512624
FDR07,OUT017,2269.4357391818535
FDN40,OUT045,2227.8306860441025
FDB35,OUT027,3830.703114525283
FDA22,OUT017,2340.275205323345
NCL06,OUT046,2323.0916494201306
FDI35,OUT013,2476.679469516147
NCW42,OUT045,2288.5805359511646
NCX06,OUT049,2302.960653788692
FDC37,OUT027,3691.2488625512624
FDZ14,OUT018,2184.838262360839
DRG49,OUT049,2254.686219487545
NCG06,OUT045,2279.458196476484
DRC36,OUT045,2262.9393655358463
FDV21,OUT019,363.8622064973915
FDB53,OUT046,2316.681356816301
DRP47,OUT019,363.8622064973915
FDA14,OUT013,2347.580305594466
DRC24,OUT035,2269.5159735185307
FDW21,OUT018,2173.151805844627
NCH29,OUT046,2278.022361420898
FDU58,OUT013,2300.7851695865106
FDY27,OUT017,2195.6187543516007
FDV56,OUT035,2260.886733474914
FDT59,OUT046,2339.3221192051346
FDB23,OUT046,2484.981925507555
FDR49,OUT045,2241.7853999432086
FDB03,OUT010,336.2897208212155
FDN39,OUT045,2294.2511794083985
FDX02,OUT027,3691.2488625512624
FDQ16,OUT027,3691.2488625512624
FDU35,OUT018,2199.737363681971
NCT29,OUT013,2330.321825507233
FDZ27,OUT046,2289.9800226241955
FDN57,OUT017,2254.1496568188754
FDA03,OUT018,2238.0436909726245
FDZ36,OUT045,2228.5949901622516
NCU05,OUT013,2326.3770300587225
FDT39,OUT018,2177.688320610414
FDK60,OUT017,2245.5204167752586
FDZ25,OUT017,2241.575621326748
FDG12,OUT046,2283.569730020366
DRB01,OUT019,363.8622064973915
NCC43,OUT027,3691.2488625512624
FDX13,OUT019,363.8622064973915
FDM22,OUT049,2285.209074270395
FDJ03,OUT027,3691.2488625512624
FDU14,OUT018,2234.345445239646
FDB33,OUT010,336.2897208212155
FDP27,OUT046,2291.0648413725357
FDO38,OUT010,333.8242236658966
FDE28,OUT027,3691.2488625512624
FDO27,OUT035,2211.9466149418304
DRL23,OUT027,3691.2488625512624
FDS28,OUT046,2291.188116230302
FDX24,OUT013,2309.389754658574
FDZ02,OUT035,2215.546240788596
FDL46,OUT045,2299.1821737190367
FDS60,OUT027,3691.2488625512624
NCO06,OUT017,2259.0806511295136
FDO16,OUT035,2208.519573895937
FDC60,OUT049,2242.9257980566726
FDA48,OUT018,2206.4853273845406
FDZ36,OUT027,3691.2488625512624
FDK27,OUT045,2253.07737691457
FDW23,OUT018,2175.247478426648
FDM14,OUT018,2214.8680177126253
FDM14,OUT013,2336.2390186799985
FDW60,OUT018,2173.6449052756907
FDE21,OUT013,2331.3080243693603
NCM42,OUT035,2211.7247201978516
FDY59,OUT010,289.17407018306835
DRI49,OUT049,2285.9487234169906
FDT28,OUT019,363.8622064973915
FDQ22,OUT018,2229.4144509290077
FDR60,OUT049,2286.688372563586
FDC50,OUT019,363.8622064973915
FDV24,OUT013,2295.9774501336383
DRF48,OUT010,277.0191692073454
FDQ47,OUT046,2307.2953111575403
DRN36,OUT049,2291.1262674431605
NCY06,OUT035,2256.6953883108717
FDE52,OUT035,2232.7554109327234
NCB54,OUT045,2242.0319496587404
NCF31,OUT035,2226.5177031297662
FDJ08,OUT027,3691.2488625512624
NCC07,OUT017,2260.806499138237
NCD19,OUT027,3691.2488625512624
FDL46,OUT049,2316.520888142947
FDM20,OUT045,2248.1463826039317
NCI06,OUT010,304.4848075175996
DRM11,OUT035,2213.8943576945326
NCH07,OUT018,2211.6628714107105
FDS23,OUT013,2312.2079199186423
FDO49,OUT018,2199.0888359185833
FDS35,OUT049,2283.194865106038
DRK39,OUT045,2233.4520195582304
DRI39,OUT049,2284.222875408267
FDV04,OUT017,2202.744041130473
NCN14,OUT035,2275.6797164068284
FDH08,OUT013,2305.223064466085
FDS20,OUT046,2294.491882418429
FDV40,OUT049,2301.7279052110325
FDZ48,OUT010,336.2897208212155
FDS24,OUT027,3691.2488625512624
FDK44,OUT049,2298.029659478054
FDS48,OUT045,2273.5410033037183
FDK26,OUT010,275.68780074347296
FDD23,OUT045,2385.1351374226333
NCH54,OUT017,2230.7274338433444
NCP14,OUT010,289.5685497279194
FDM60,OUT010,302.0193103622805
FDV24,OUT017,2191.9451635901755
FDH08,OUT018,2183.8520634987117
FDS12,OUT027,3691.2488625512624
FDR39,OUT027,3691.2488625512624
FDP12,OUT027,3691.2488625512624
DRF60,OUT027,3691.2488625512624
FDC09,OUT035,2257.928136888531
FDF50,OUT018,2171.0068233194993
FDG28,OUT035,2227.282007247915
NCE19,OUT017,2208.3900296161537
NCM53,OUT010,341.2207151318537
NCN18,OUT049,2260.036348314587
FDF32,OUT035,2262.1194820525734
FDF11,OUT013,2457.917036164169
DRI59,OUT049,2263.019599872523
NCG54,OUT035,2241.1627562323615
FDM44,OUT046,2312.4900116522585
FDT57,OUT018,2221.7714097475186
FDV24,OUT046,2278.638735709728
FDI50,OUT019,363.8622064973915
FDS09,OUT035,2225.358919466766
NCC31,OUT027,3691.2488625512624
FDQ07,OUT019,363.8622064973915
FDC22,OUT017,2198.1335614500263
FDZ56,OUT046,2330.9812403171513
FDZ40,OUT019,363.8622064973915
FDS46,OUT027,3691.2488625512624
DRD24,OUT045,2267.130710699889
FDV45,OUT017,2246.753165352918
FDL26,OUT045,2287.594337089037
FDA56,OUT018,2192.2347538267964
FDN27,OUT046,2353.663814146087
FDM20,OUT049,2265.485097027842
FDO16,OUT017,2191.1808594720264
FDL03,OUT035,2276.419365553424
FDE58,OUT046,2342.0759775160873
FDI02,OUT027,3691.2488625512624
NCC55,OUT019,363.8622064973915
FDR03,OUT018,2224.2369069028377
FDB14,OUT017,2264.011645440152
FDR45,OUT013,2321.4460357480843
NCN07,OUT017,2255.382405396535
FDM51,OUT019,363.8622064973915
FDT52,OUT027,3691.2488625512624
FDL26,OUT046,2339.610480360768
NCZ42,OUT046,2302.628023030982
DRI47,OUT019,363.8622064973915
FDW40,OUT013,2337.2252175421263
FDN34,OUT046,2327.7760940152366
FDS01,OUT035,2238.6972590770424
NCG55,OUT045,2278.96509704542
FDC11,OUT035,2422.0373604157426
FDX35,OUT018,2192.8093166755243
NCB06,OUT046,2337.638082636513
FDR09,OUT019,363.8622064973915
FDC53,OUT017,2206.9600412660684
FDY45,OUT013,2354.4836976293595
FDA22,OUT010,424.880766481004
FDE02,OUT035,2224.446685519298
FDW21,OUT045,2225.167949116358
FDV34,OUT046,2303.5895669215565
FDS59,OUT049,2310.3153338145476
NCW17,OUT017,2252.916908241216
NCK54,OUT046,2310.764163643535
FDG17,OUT019,363.8622064973915
FDG35,OUT017,2408.1503420092786
FDD08,OUT010,289.69182458568525
NCO07,OUT017,2208.833819104111
FDJ10,OUT010,273.8879878200901
FDW36,OUT017,2219.1395972133446
FDW21,OUT010,275.0960814261964
FDY19,OUT017,2261.5461482848327
DRE03,OUT013,2364.8387856817
NCC55,OUT049,2268.9121380737356
FDH52,OUT010,295.2145382136
FDO09,OUT017,2230.7274338433444
FDU43,OUT045,2294.2511794083985
FDX09,OUT010,293.14352060313195
FDH40,OUT019,363.8622064973915
FDW58,OUT017,2266.477142595471
FDC47,OUT017,2238.1239253093017
NCR41,OUT035,2269.5159735185307
DRG49,OUT035,2220.008790639724
FDC52,OUT027,3691.2488625512624
FDY13,OUT046,2310.5176139280034
FDY35,OUT013,2376.1382611560657
FDI35,OUT017,2372.6471829726843
NCU18,OUT049,2290.6331680120966
FDY33,OUT018,2218.319713730072
FDC15,OUT027,3691.2488625512624
FDU01,OUT049,2316.027788711883
NCU42,OUT046,2295.2315315650253
NCV29,OUT018,2205.006029091349
NCY30,OUT017,2264.011645440152
FDQ46,OUT049,2253.2069211943535
FDG58,OUT027,3691.2488625512624
FDK33,OUT017,2252.1772590946202
NCD07,OUT045,2243.7084877243574
NCX29,OUT027,3691.2488625512624
NCT42,OUT013,2297.185543739745
DRN59,OUT035,2255.462639733212
FDI44,OUT035,2260.886733474914
FDA45,OUT049,2320.9587830225214
FDP31,OUT045,2302.880419452015
FDY01,OUT046,2309.038315634812
FDT09,OUT018,2221.524860031987
DRH03,OUT027,3691.2488625512624
FDA36,OUT018,2176.3322971749885
NCF31,OUT017,2209.1789887058558
FDG14,OUT049,2260.554102717204
FDG28,OUT027,3691.2488625512624
FDU14,OUT049,2303.7003029352877
FDY47,OUT019,385.0236705930338
FDI56,OUT049,2252.294687246885
DRD01,OUT013,2327.856328351914
FDM22,OUT046,2319.886503118216
FDH33,OUT013,2331.5545740848925
DRZ24,OUT013,2305.3463393238508
NCQ38,OUT046,2331.4743397482152
FDO16,OUT027,3691.2488625512624
FDU07,OUT027,3691.2488625512624
NCB07,OUT013,2362.8663879574447
FDU48,OUT045,2291.7856822530794
NCM43,OUT045,2270.3358570018036
FDR31,OUT010,280.61879505411116
DRK49,OUT018,2216.5938657213487
NCI30,OUT010,348.617206597811
DRD60,OUT017,2241.575621326748
NCG19,OUT046,2350.705217559704
FDH12,OUT035,2228.835270455766
FDM32,OUT035,2282.583108441722
FDM27,OUT035,2242.395504810021
NCU53,OUT027,3691.2488625512624
NCQ18,OUT046,2328.5157431618327
FDS10,OUT013,2362.8663879574447
FDB33,OUT027,3691.2488625512624
FDI12,OUT013,2314.5179887416375
NCW42,OUT013,2357.9353936468065
NCC06,OUT018,2240.5091881279436
FDW02,OUT017,2187.852438312346
NCD43,OUT017,2207.798310298877
FDM57,OUT018,2204.266379944753
FDA58,OUT017,2210.4857021981747
FDK56,OUT046,2298.658572610919
FDP52,OUT045,2291.0460331064837
FDW20,OUT018,2249.1384281715605
FDS52,OUT049,2260.011693343034
NCT29,OUT018,2208.9508245398597
NCL54,OUT013,2330.321825507233
FDC05,OUT045,2263.43246496691
FDF34,OUT035,2227.3559721625747
FDP03,OUT027,3691.2488625512624
FDD32,OUT010,336.04317110568377
FDZ10,OUT045,2286.854687942441
FDZ40,OUT035,2225.556159239192
